iter	Passed	Remaining
0	143	143685
1	147	73689
2	151	50368
3	155	38673
4	158	31619
5	163	27015
6	167	23693
7	170	21192
8	173	19150
9	177	17607
10	181	16339
11	184	15187
12	186	14166
13	189	13367
14	193	12685
15	195	12045
16	199	11538
17	201	11009
18	203	10514
19	205	10073
20	207	9687
21	209	9298
22	211	8995
23	213	8694
24	215	8394
25	217	8138
26	219	7911
27	221	7702
28	223	7495
29	226	7308
30	228	7126
31	229	6951
32	231	6778
33	233	6622
34	234	6474
35	236	6330
36	237	6193
37	239	6064
38	240	5937
39	242	5822
40	243	5705
41	245	5591
42	246	5485
43	248	5392
44	249	5299
45	250	5203
46	252	5110
47	253	5022
48	254	4943
49	255	4861
50	257	4784
51	258	4706
52	259	4634
53	260	4563
54	261	4496
55	262	4432
56	264	4372
57	265	4310
58	266	4251
59	267	4194
60	268	4139
61	270	4088
62	271	4039
63	272	3989
64	273	3940
65	275	3893
66	276	3846
67	277	3804
68	278	3762
69	279	3719
70	281	3678
71	282	3639
72	283	3605
73	285	3567
74	286	3530
75	287	3493
76	288	3459
77	289	3425
78	290	3391
79	292	3360
80	293	3329
81	294	3298
82	295	3267
83	296	3237
84	298	3211
85	299	3185
86	300	3157
87	302	3129
88	303	3103
89	304	3076
90	305	3051
91	306	3028
92	308	3004
93	309	2980
94	310	2957
95	311	2935
96	313	2916
97	314	2894
98	315	2872
99	316	2850
100	317	2829
101	319	2809
102	320	2789
103	321	2770
104	322	2750
105	323	2731
106	324	2712
107	326	2694
108	327	2680
109	329	2664
110	330	2646
111	331	2629
112	332	2611
113	333	2594
114	335	2578
115	336	2562
116	337	2546
117	338	2530
118	339	2516
119	341	2501
120	342	2487
121	343	2472
122	344	2457
123	345	2443
124	347	2429
125	348	2415
126	349	2401
127	350	2386
128	351	2373
129	352	2360
130	353	2347
131	355	2335
132	356	2324
133	357	2312
134	359	2300
135	360	2288
136	361	2275
137	362	2263
138	363	2251
139	364	2240
140	365	2229
141	367	2219
142	368	2209
143	370	2199
144	371	2190
145	372	2181
146	374	2171
147	375	2161
148	376	2149
149	377	2139
150	378	2130
151	380	2122
152	381	2113
153	382	2102
154	383	2093
155	385	2084
156	386	2076
157	387	2067
158	389	2058
159	390	2049
160	391	2040
161	392	2031
162	394	2023
163	395	2015
164	396	2007
165	397	1999
166	399	1990
167	400	1983
168	401	1975
169	402	1966
170	403	1958
171	405	1950
172	406	1942
173	407	1934
174	408	1927
175	410	1920
176	411	1911
177	412	1904
178	413	1897
179	415	1891
180	416	1884
181	417	1877
182	418	1869
183	419	1862
184	421	1855
185	422	1848
186	423	1841
187	424	1834
188	425	1827
189	427	1820
190	428	1813
191	429	1807
192	430	1800
193	431	1794
194	433	1788
195	434	1781
196	435	1774
197	436	1767
198	437	1762
199	439	1756
200	440	1749
201	441	1743
202	442	1737
203	444	1732
204	445	1726
205	446	1719
206	447	1713
207	448	1707
208	449	1701
209	450	1695
210	452	1690
211	453	1684
212	454	1678
213	455	1672
214	456	1668
215	458	1663
216	459	1657
217	460	1652
218	461	1647
219	462	1641
220	464	1635
221	465	1629
222	466	1625
223	467	1621
224	469	1615
225	470	1610
226	471	1605
227	472	1600
228	473	1594
229	474	1589
230	476	1584
231	477	1579
232	478	1574
233	479	1570
234	480	1565
235	482	1561
236	483	1557
237	484	1552
238	485	1547
239	487	1542
240	488	1537
241	489	1533
242	490	1528
243	491	1523
244	492	1518
245	493	1514
246	495	1510
247	497	1507
248	498	1502
249	499	1497
250	500	1494
251	501	1489
252	502	1485
253	504	1480
254	505	1475
255	506	1471
256	507	1467
257	508	1463
258	510	1459
259	511	1456
260	513	1452
261	514	1448
262	515	1443
263	516	1439
264	517	1435
265	518	1431
266	519	1426
267	520	1422
268	521	1418
269	523	1414
270	524	1410
271	525	1407
272	527	1403
273	528	1399
274	529	1395
275	530	1391
276	531	1387
277	532	1383
278	533	1379
279	534	1375
280	536	1371
281	537	1367
282	538	1364
283	540	1361
284	541	1358
285	542	1355
286	544	1351
287	545	1348
288	546	1344
289	547	1341
290	549	1337
291	550	1334
292	551	1331
293	553	1329
294	554	1326
295	556	1322
296	557	1319
297	558	1315
298	559	1311
299	560	1308
300	561	1304
301	562	1300
302	564	1297
303	565	1293
304	566	1290
305	567	1287
306	569	1284
307	570	1281
308	571	1277
309	572	1273
310	573	1270
311	574	1266
312	575	1263
313	576	1260
314	577	1256
315	579	1254
316	580	1251
317	582	1249
318	583	1246
319	585	1243
320	586	1239
321	587	1236
322	588	1233
323	589	1230
324	590	1227
325	592	1224
326	593	1220
327	594	1217
328	595	1214
329	596	1211
330	598	1209
331	599	1206
332	600	1202
333	601	1199
334	602	1196
335	604	1193
336	605	1190
337	606	1187
338	607	1184
339	608	1181
340	609	1178
341	611	1176
342	612	1173
343	613	1170
344	615	1167
345	616	1164
346	617	1162
347	618	1159
348	619	1156
349	621	1153
350	622	1150
351	623	1147
352	624	1144
353	625	1142
354	627	1139
355	628	1136
356	629	1134
357	630	1131
358	632	1128
359	633	1126
360	634	1123
361	635	1120
362	636	1117
363	638	1114
364	639	1112
365	640	1110
366	642	1107
367	643	1104
368	644	1101
369	645	1099
370	646	1096
371	647	1093
372	648	1090
373	650	1087
374	651	1085
375	652	1082
376	653	1080
377	655	1078
378	656	1075
379	657	1073
380	658	1070
381	660	1067
382	661	1065
383	662	1062
384	663	1059
385	664	1057
386	666	1055
387	667	1052
388	668	1050
389	670	1048
390	671	1046
391	672	1043
392	674	1041
393	675	1039
394	676	1036
395	678	1034
396	679	1031
397	680	1029
398	681	1026
399	682	1024
400	684	1022
401	685	1020
402	687	1017
403	688	1015
404	689	1013
405	690	1010
406	691	1008
407	693	1005
408	694	1003
409	695	1001
410	696	998
411	698	996
412	699	994
413	701	992
414	702	990
415	703	987
416	704	985
417	705	982
418	707	980
419	708	977
420	709	975
421	710	973
422	711	970
423	713	969
424	714	966
425	716	964
426	717	962
427	718	960
428	719	958
429	721	956
430	722	953
431	723	951
432	724	949
433	726	947
434	727	945
435	729	943
436	730	941
437	731	938
438	733	936
439	734	934
440	735	932
441	737	930
442	738	928
443	740	926
444	741	925
445	743	923
446	744	921
447	746	919
448	747	917
449	748	915
450	750	913
451	751	911
452	752	909
453	754	907
454	756	906
455	757	904
456	759	901
457	760	899
458	761	897
459	763	895
460	764	893
461	765	891
462	767	889
463	769	888
464	770	886
465	771	884
466	773	882
467	774	880
468	775	878
469	777	876
470	778	874
471	780	872
472	781	870
473	783	869
474	785	867
475	786	865
476	787	863
477	789	861
478	790	859
479	791	857
480	793	855
481	794	854
482	796	852
483	798	850
484	799	849
485	800	846
486	802	844
487	803	842
488	804	840
489	806	838
490	807	837
491	808	835
492	810	833
493	811	831
494	813	829
495	814	827
496	815	825
497	817	823
498	818	821
499	819	819
500	821	818
501	822	815
502	823	814
503	825	812
504	826	810
505	828	808
506	829	806
507	830	804
508	832	802
509	833	800
510	834	798
511	836	796
512	837	795
513	839	793
514	840	791
515	841	789
516	843	787
517	844	785
518	845	783
519	847	782
520	848	780
521	850	778
522	851	776
523	853	774
524	854	773
525	855	771
526	857	769
527	858	767
528	859	765
529	861	763
530	862	761
531	863	759
532	864	757
533	866	756
534	867	754
535	869	752
536	870	750
537	871	748
538	873	746
539	874	744
540	875	742
541	876	740
542	877	738
543	879	737
544	880	735
545	882	733
546	883	731
547	884	729
548	885	727
549	887	725
550	888	723
551	889	721
552	890	719
553	891	718
554	893	716
555	894	714
556	896	712
557	897	710
558	898	708
559	899	706
560	900	705
561	902	703
562	903	701
563	904	699
564	906	697
565	907	695
566	909	694
567	910	692
568	911	690
569	912	688
570	914	686
571	915	684
572	916	683
573	917	681
574	919	679
575	920	677
576	921	675
577	923	674
578	924	672
579	926	670
580	927	668
581	928	666
582	929	664
583	930	663
584	932	661
585	933	659
586	934	657
587	935	655
588	937	654
589	939	652
590	940	650
591	941	649
592	942	647
593	944	645
594	945	643
595	946	641
596	947	639
597	949	638
598	950	636
599	952	634
600	953	632
601	954	631
602	955	629
603	957	627
604	958	625
605	959	623
606	960	621
607	961	620
608	963	618
609	964	616
610	965	614
611	967	613
612	968	611
613	969	609
614	971	607
615	972	606
616	973	604
617	974	602
618	975	600
619	977	598
620	978	597
621	979	595
622	981	593
623	982	592
624	983	590
625	984	588
626	986	586
627	987	584
628	988	583
629	989	581
630	990	579
631	992	577
632	993	576
633	995	574
634	996	572
635	997	571
636	999	569
637	1000	567
638	1001	565
639	1002	564
640	1003	562
641	1005	560
642	1006	558
643	1007	556
644	1009	555
645	1010	553
646	1011	552
647	1013	550
648	1014	548
649	1015	546
650	1016	545
651	1017	543
652	1019	541
653	1020	539
654	1021	538
655	1027	538
656	1030	537
657	1031	536
658	1033	534
659	1035	533
660	1038	532
661	1041	531
662	1043	530
663	1044	528
664	1047	527
665	1049	526
666	1051	524
667	1053	523
668	1054	521
669	1056	520
670	1058	518
671	1060	517
672	1061	515
673	1063	514
674	1065	512
675	1066	511
676	1068	509
677	1070	508
678	1072	507
679	1074	505
680	1075	503
681	1077	502
682	1078	500
683	1080	499
684	1081	497
685	1082	495
686	1084	493
687	1085	492
688	1086	490
689	1087	488
690	1089	487
691	1090	485
692	1092	483
693	1094	482
694	1095	480
695	1096	479
696	1098	477
697	1099	475
698	1101	474
699	1102	472
700	1103	470
701	1104	469
702	1106	467
703	1108	466
704	1109	464
705	1110	462
706	1112	460
707	1113	459
708	1114	457
709	1116	455
710	1117	454
711	1118	452
712	1120	450
713	1121	449
714	1122	447
715	1124	445
716	1125	444
717	1126	442
718	1127	440
719	1129	439
720	1130	437
721	1131	435
722	1132	433
723	1133	432
724	1135	430
725	1136	429
726	1138	427
727	1139	425
728	1140	424
729	1142	422
730	1143	420
731	1144	419
732	1146	417
733	1147	415
734	1148	414
735	1150	412
736	1151	410
737	1152	409
738	1154	407
739	1155	405
740	1156	404
741	1158	402
742	1159	401
743	1160	399
744	1161	397
745	1163	396
746	1164	394
747	1166	392
748	1167	391
749	1168	389
750	1169	387
751	1171	386
752	1172	384
753	1173	382
754	1174	381
755	1175	379
756	1177	377
757	1179	376
758	1180	374
759	1182	373
760	1183	371
761	1184	369
762	1185	368
763	1186	366
764	1188	364
765	1189	363
766	1190	361
767	1191	359
768	1193	358
769	1195	356
770	1196	355
771	1197	353
772	1198	352
773	1200	350
774	1201	348
775	1202	347
776	1203	345
777	1205	343
778	1206	342
779	1207	340
780	1209	339
781	1210	337
782	1211	335
783	1212	334
784	1213	332
785	1215	330
786	1216	329
787	1217	327
788	1218	325
789	1219	324
790	1221	322
791	1223	321
792	1224	319
793	1225	317
794	1226	316
795	1228	314
796	1229	313
797	1230	311
798	1231	309
799	1233	308
800	1234	306
801	1235	305
802	1237	303
803	1238	301
804	1239	300
805	1240	298
806	1242	297
807	1243	295
808	1244	293
809	1245	292
810	1247	290
811	1248	289
812	1249	287
813	1251	285
814	1252	284
815	1253	282
816	1254	281
817	1256	279
818	1257	277
819	1258	276
820	1259	274
821	1260	273
822	1262	271
823	1263	269
824	1264	268
825	1266	266
826	1267	265
827	1268	263
828	1270	261
829	1271	260
830	1272	258
831	1273	257
832	1274	255
833	1276	254
834	1277	252
835	1279	250
836	1280	249
837	1281	247
838	1283	246
839	1284	244
840	1285	243
841	1286	241
842	1288	239
843	1289	238
844	1290	236
845	1291	235
846	1293	233
847	1294	232
848	1295	230
849	1297	228
850	1298	227
851	1299	225
852	1300	224
853	1302	222
854	1303	221
855	1304	219
856	1305	217
857	1306	216
858	1308	214
859	1309	213
860	1311	211
861	1312	210
862	1313	208
863	1315	206
864	1316	205
865	1317	203
866	1318	202
867	1319	200
868	1321	199
869	1322	197
870	1324	196
871	1325	194
872	1326	192
873	1327	191
874	1329	189
875	1330	188
876	1331	186
877	1332	185
878	1334	183
879	1335	182
880	1336	180
881	1338	179
882	1339	177
883	1340	175
884	1342	174
885	1343	172
886	1345	171
887	1346	169
888	1347	168
889	1348	166
890	1349	165
891	1351	163
892	1352	162
893	1354	160
894	1355	159
895	1356	157
896	1357	155
897	1359	154
898	1360	152
899	1361	151
900	1363	149
901	1364	148
902	1366	146
903	1367	145
904	1368	143
905	1370	142
906	1371	140
907	1372	139
908	1373	137
909	1375	135
910	1376	134
911	1377	132
912	1378	131
913	1380	129
914	1381	128
915	1383	126
916	1384	125
917	1385	123
918	1387	122
919	1388	120
920	1389	119
921	1390	117
922	1391	116
923	1393	114
924	1394	113
925	1396	111
926	1397	110
927	1398	108
928	1399	106
929	1401	105
930	1402	103
931	1403	102
932	1405	100
933	1406	99
934	1407	97
935	1408	96
936	1410	94
937	1411	93
938	1412	91
939	1414	90
940	1415	88
941	1416	87
942	1417	85
943	1418	84
944	1420	82
945	1421	81
946	1423	79
947	1425	78
948	1426	76
949	1427	75
950	1429	73
951	1430	72
952	1431	70
953	1432	69
954	1433	67
955	1435	66
956	1436	64
957	1437	63
958	1439	61
959	1440	60
960	1441	58
961	1442	56
962	1444	55
963	1445	53
964	1446	52
965	1447	50
966	1448	49
967	1449	47
968	1451	46
969	1452	44
970	1453	43
971	1454	41
972	1455	40
973	1457	38
974	1458	37
975	1459	35
976	1460	34
977	1461	32
978	1462	31
979	1464	29
980	1465	28
981	1466	26
982	1467	25
983	1469	23
984	1470	22
985	1471	20
986	1472	19
987	1473	17
988	1475	16
989	1476	14
990	1478	13
991	1479	11
992	1480	10
993	1482	8
994	1483	7
995	1484	5
996	1485	4
997	1486	2
998	1488	1
999	1489	0
